GEOID,votes_Biden_20,votes_Trump_20,votes_total_20,margin_Biden_20,votes_Curran_21,pct_Curran_21,margin_Curran_21_ifwon,votes_Blakeman_21,votes_total_21,pct_Blakeman_21,margin_Blakeman_21_ifwon,margin_21,margin_Curran_21,pct_Biden_20,pct_Trump_20,margin_Curran_21_relto_Biden_20,Town
36059-0218003,180,22,205,77.1,28,82.35,64.71,6,34,17.65,0,64.7,64.7,87.80487805,10.73170732,-5.454878049,2
36059-0218004,491,36,528,86.2,101,90.99,83.78,8,111,7.21,0,83.78,83.78,92.99242424,6.818181818,-2.002424242,2
36059-0218017,665,71,738,80.5,154,88.51,77.01,20,174,11.49,0,77.02,77.02,90.10840108,9.620596206,-1.598401084,2
36059-0217009,367,373,747,-0.8,121,42.16,0,166,287,57.84,15.68,-15.68,-15.68,49.12985274,49.9330656,-6.969852744,2
36059-0217011,323,279,613,7.2,124,48.06,0,134,258,51.94,3.88,-3.88,-3.88,52.69168026,45.51386623,-4.631680261,2
36059-0217015,156,146,310,3.2,53,53,6,47,100,47,0,6,6,50.32258065,47.09677419,2.677419355,2
36059-0217021,353,183,542,31.4,151,66.23,32.46,77,228,33.77,0,32.46,32.46,65.12915129,33.76383764,1.100848708,2
36059-0217023,269,160,434,25.1,108,60,20,72,180,40,0,20,20,61.98156682,36.86635945,-1.98156682,2
36059-0217024,225,254,487,-6,83,41.5,0,117,200,58.5,17,-17,-17,46.20123203,52.15605749,-4.701232033,2
36059-0217045,12,10,22,9.1,8,100,100,0,8,0,0,100,100,54.54545455,45.45454545,45.45454545,2
36059-0217047,202,179,388,5.9,80,49.08,0,83,163,50.92,1.84,-1.84,-1.84,52.06185567,46.13402062,-2.98185567,2
36059-0217025,515,322,851,22.7,236,65.74,32.03,121,359,33.7,0,32.04,32.04,60.51703878,37.83783784,5.222961222,2
36059-0217030,449,458,924,-1,185,51.97,4.21,170,356,47.75,0,4.22,4.22,48.59307359,49.56709957,3.376926407,2
36059-0217036,335,413,753,-10.4,105,42,0,145,250,58,16,-16,-16,44.48871182,54.84727756,-2.488711819,2
36059-0217028,372,237,617,21.9,130,57.02,14.04,98,228,42.98,0,14.04,14.04,60.2917342,38.41166937,-3.271734198,2
36059-0217029,266,233,504,6.5,90,51.14,2.27,86,176,48.86,0,2.28,2.28,52.77777778,46.23015873,-1.637777778,2
36059-0217032,508,536,1055,-2.7,151,38.42,0,242,393,61.58,23.16,-23.16,-23.16,48.15165877,50.8056872,-9.731658768,2
36059-0217033,110,110,221,0,39,40.63,0,57,96,59.38,18.75,-18.75,-18.75,49.77375566,49.77375566,-9.143755656,2
36059-0217034,610,66,682,79.8,187,88.21,76.42,25,212,11.79,0,76.42,76.42,89.44281525,9.677419355,-1.232815249,2
36059-0217038,225,40,268,69,99,85.34,70.69,17,116,14.66,0,70.68,70.68,83.95522388,14.92537313,1.384776119,2
