"AD","ED","Harris","Trump"
38,12,427,436
38,13,132,156
38,14,464,619
38,15,410,605
38,16,49,58
38,17,431,546
38,18,261,208
38,19,374,319
38,20,487,399
38,21,375,288
38,22,232,124
38,23,465,294
38,24,386,287
38,25,224,122
38,26,400,324
38,27,143,140
38,28,455,375
38,29,343,274
38,30,442,350
38,31,238,159
38,32,471,402
38,33,477,391
38,34,464,321
38,35,395,303
38,36,353,252
38,37,377,309
38,38,234,193
38,39,271,240
38,40,198,164
38,41,240,205
38,42,147,69
38,43,9,1
38,44,302,106
38,45,209,141
38,46,525,402
38,47,513,399
38,48,492,388
38,49,169,107
38,50,410,307
38,51,461,296
38,52,97,105
38,53,321,388
38,54,0,0
39,1,716,322
39,2,820,179
39,3,653,296
39,4,668,346
39,5,559,240
39,6,896,200
39,7,696,338
39,8,831,386
39,9,325,103
39,10,206,147
39,11,22,31
39,12,271,189
39,13,168,145
39,14,302,258
39,15,441,411
39,16,42,26
39,17,213,143
39,18,476,330
39,19,466,405
39,20,117,75
39,21,238,214
39,22,327,258
39,23,274,271
39,24,112,122
39,25,232,178
39,26,322,321
39,27,77,76
39,28,410,592
39,29,161,179
39,30,318,338
39,31,269,269
39,32,378,404
39,33,252,323
39,34,345,318
39,35,339,335
39,36,227,219
39,37,195,128
39,38,171,161
39,39,321,288
39,40,38,34
39,41,453,359
39,42,225,205
39,43,176,218
39,44,283,283
39,45,310,300
39,46,420,588
39,47,233,304
39,48,230,128
39,49,334,284
39,50,102,71
39,51,232,477
39,52,102,100
39,53,24,25
39,54,83,86
39,55,31,38
40,1,357,398
40,2,172,216
40,3,209,188
40,4,321,312
40,5,220,240
40,6,141,182
40,7,361,297
40,8,359,399
40,9,404,348
40,10,230,210
40,11,303,233
40,12,305,351
40,13,161,137
40,14,212,110
40,15,229,230
40,16,308,287
40,17,187,153
40,18,251,309
40,19,269,276
40,20,380,359
40,21,382,294
40,22,164,155
40,23,433,350
40,24,271,210
40,25,0,0
40,26,478,299
40,27,420,457
40,28,543,521
40,29,423,327
40,30,389,227
40,31,313,235
40,32,186,202
40,33,320,273
40,34,215,199
40,35,92,150
40,36,32,25
40,37,343,578
40,38,230,412
40,39,160,247
40,40,230,452
40,41,309,538
40,42,12,8
40,43,335,354
40,44,145,142
40,45,258,313
40,46,156,162
40,47,323,713
40,48,77,84
40,49,0,0
41,1,793,75
41,2,692,56
41,3,532,38
41,4,875,58
41,5,565,58
41,6,621,55
41,7,725,77
41,8,606,64
41,9,789,50
41,10,513,42
41,11,697,63
41,12,280,264
41,13,438,91
41,14,114,652
41,15,132,141
41,16,315,188
41,17,492,92
41,18,518,60
41,19,578,129
41,20,62,146
41,21,123,176
41,22,311,769
41,23,148,611
41,24,245,554
41,25,245,520
41,26,305,658
41,27,292,550
41,28,191,461
41,29,107,555
41,30,119,567
41,31,124,325
41,32,510,277
41,33,296,616
41,34,322,726
41,35,133,613
41,36,118,302
41,37,162,333
41,38,72,104
41,39,122,287
41,40,227,392
41,41,159,759
41,42,238,459
41,43,239,420
41,44,205,349
41,45,331,463
41,46,193,342
41,47,263,302
41,48,294,312
41,49,430,153
41,50,371,145
41,51,244,82
41,52,466,626
41,53,135,121
41,54,83,114
41,55,260,407
41,56,213,407
41,57,172,394
41,58,262,555
41,59,101,227
41,60,122,304
41,61,216,470
41,62,0,0
41,63,283,723
41,64,235,554
41,65,66,195
41,66,164,365
41,67,148,344
41,68,110,95
41,69,58,166
41,70,70,238
41,71,102,520
41,72,0,0
41,73,0,0
41,74,0,0
42,1,35,12
42,2,602,44
42,3,799,38
42,4,748,47
42,5,699,72
42,6,794,125
42,7,907,78
42,8,449,49
42,9,769,55
42,10,843,79
42,11,821,68
42,12,799,56
42,13,881,66
42,14,688,63
42,15,822,58
42,16,701,60
42,17,744,54
42,18,572,54
42,19,826,85
42,20,790,49
42,21,725,73
42,22,678,99
42,23,815,88
42,24,767,60
42,25,696,40
42,26,633,33
42,27,229,35
42,28,38,1
42,29,762,61
42,30,464,52
42,31,606,48
42,32,584,28
42,33,592,49
42,34,428,34
42,35,656,40
42,36,704,46
42,37,788,57
42,38,773,58
42,39,743,49
42,40,609,70
42,41,793,134
42,42,588,63
42,43,766,72
42,44,539,53
42,45,491,44
42,46,521,56
42,47,747,69
42,48,12,80
42,49,619,282
42,50,746,58
42,51,501,55
42,52,111,632
42,53,482,413
42,54,45,845
42,55,365,335
42,56,191,387
42,57,12,240
42,58,214,688
42,59,55,523
42,60,479,107
42,61,865,73
42,62,0,0
43,1,721,26
43,2,787,40
43,3,676,26
43,4,820,39
43,5,526,19
43,6,615,44
43,7,703,61
43,8,527,23
43,9,401,28
43,10,815,33
43,11,621,30
43,12,492,60
43,13,596,229
43,14,485,94
43,15,474,160
43,16,659,67
43,17,487,64
43,18,770,43
43,19,678,156
43,20,387,497
43,21,212,464
43,22,373,520
43,23,637,135
43,24,349,263
43,25,404,201
43,26,102,401
43,27,387,492
43,28,125,367
43,29,580,185
43,30,692,273
43,31,834,35
43,32,690,35
43,33,819,76
43,34,623,171
43,35,712,159
43,36,798,26
43,37,950,41
43,38,851,23
43,39,722,31
43,40,769,39
43,41,842,59
43,42,744,33
43,43,532,366
43,44,542,225
43,45,589,237
43,46,332,196
43,47,840,128
43,48,110,16
43,49,516,87
43,50,415,82
43,51,393,99
43,52,652,76
43,53,819,55
43,54,869,49
43,55,633,34
43,56,876,39
43,57,946,42
43,58,733,40
43,59,898,42
43,60,770,32
43,61,720,38
43,62,502,32
43,63,663,30
43,64,891,61
43,65,691,42
43,66,752,50
43,67,895,53
43,68,326,27
44,1,947,45
44,2,633,228
44,3,224,14
44,4,646,46
44,5,255,16
44,6,171,89
44,7,953,31
44,8,814,33
44,9,803,55
44,10,514,12
44,11,453,15
44,12,641,26
44,13,331,15
44,14,696,27
44,15,250,6
44,16,230,47
44,17,1093,68
44,18,790,85
44,19,530,43
44,20,428,24
44,21,655,90
44,22,647,48
44,23,1006,45
44,24,816,84
44,25,971,67
44,26,742,49
44,27,868,69
44,28,908,48
44,29,970,70
44,30,869,65
44,31,1038,112
44,32,998,104
44,33,953,144
44,34,537,65
44,35,565,97
44,36,1007,167
44,37,925,147
44,38,967,135
44,39,824,102
44,40,586,118
44,41,635,123
44,42,155,243
44,43,575,167
44,44,267,181
44,45,711,123
44,46,726,185
44,47,346,178
44,48,339,366
44,49,50,278
44,50,38,278
44,51,25,369
44,52,46,63
44,53,236,411
44,54,648,65
44,55,206,56
44,56,654,156
44,57,376,330
44,58,371,232
44,59,330,230
44,60,189,120
44,61,999,146
44,62,749,73
44,63,650,221
44,64,640,279
44,65,589,59
44,66,603,362
44,67,353,120
44,68,431,77
44,69,384,428
44,70,358,141
44,71,336,229
44,72,433,289
44,73,223,18
44,74,480,89
44,75,4,5
44,76,257,156
44,77,183,12
44,78,318,129
44,79,0,0
44,80,0,0
44,81,0,0
44,82,277,2
44,83,296,6
44,84,462,15
44,85,259,14
44,86,1,0
44,87,17,7
44,88,242,148
44,89,159,35
45,1,147,550
45,2,150,712
45,3,235,668
45,4,242,521
45,5,225,498
45,6,229,480
45,7,114,722
45,8,58,686
45,9,163,630
45,10,53,615
45,11,54,554
45,12,35,97
45,13,48,366
45,14,92,497
45,15,84,545
45,16,97,935
45,17,108,584
45,18,27,70
45,19,89,180
45,20,182,665
45,21,63,111
45,22,85,181
45,23,302,197
45,24,314,204
45,25,37,395
45,26,31,417
45,27,184,379
45,28,153,674
45,29,75,532
45,30,179,421
45,31,254,294
45,32,188,780
45,33,92,541
45,34,203,540
45,35,92,380
45,36,314,725
45,37,318,427
45,38,97,306
45,39,26,55
45,40,203,475
45,41,284,705
45,42,251,485
45,43,208,575
45,44,246,508
45,45,223,620
45,46,244,299
45,47,242,547
45,48,215,392
45,49,98,789
45,50,162,380
45,51,159,638
45,52,137,344
45,53,127,184
45,54,34,56
45,55,10,33
45,56,0,0
46,1,358,278
46,2,373,220
46,3,531,244
46,4,461,255
46,5,460,377
46,6,413,449
46,7,410,394
46,8,397,270
46,9,535,321
46,10,513,337
46,11,302,242
46,12,588,441
46,13,551,424
46,14,555,394
46,15,411,385
46,16,482,331
46,17,366,330
46,18,430,343
46,19,504,430
46,20,562,431
46,21,101,67
46,22,370,384
46,23,233,508
46,24,158,594
46,25,207,480
46,26,299,560
46,27,467,385
46,28,224,455
46,29,79,66
46,30,53,91
46,31,148,225
46,32,84,124
46,33,43,62
46,34,186,328
46,35,73,235
46,36,172,360
46,37,1,0
46,38,202,466
46,39,252,468
46,40,273,561
46,41,361,176
46,42,383,148
46,43,332,138
46,44,243,173
46,45,236,167
46,46,329,155
46,47,385,222
46,48,381,139
46,49,138,176
46,50,450,134
46,51,303,107
46,52,299,162
46,53,428,243
46,54,75,474
46,55,124,687
46,56,211,688
46,57,125,405
46,58,120,407
46,59,92,443
46,60,94,362
46,61,297,731
46,62,130,365
46,63,97,403
46,64,70,391
46,65,103,378
46,66,166,507
46,67,90,445
46,68,184,466
46,69,188,192
46,70,197,362
46,71,248,458
46,72,0,1
46,73,87,361
46,74,0,0
46,75,0,0
46,76,0,0
46,77,0,0
46,78,0,0
47,1,123,218
47,2,311,525
47,3,129,255
47,4,250,362
47,5,317,435
47,6,150,148
47,7,192,366
47,8,134,160
47,9,222,364
47,10,162,314
47,11,253,346
47,12,297,444
47,13,187,288
47,14,348,577
47,15,22,75
47,16,50,96
47,17,31,64
47,18,147,189
47,19,180,260
47,20,174,212
47,21,243,320
47,22,166,320
47,23,339,452
47,24,202,326
47,25,232,355
47,26,208,397
47,27,306,642
47,28,112,193
47,29,222,333
47,30,15,47
47,31,24,78
47,32,166,265
47,33,255,483
47,34,234,361
47,35,217,375
47,36,180,365
47,37,216,351
47,38,213,351
47,39,175,346
47,40,61,124
47,41,72,164
47,42,410,155
47,43,295,516
47,44,283,608
47,45,303,603
47,46,235,381
47,47,287,455
47,48,85,104
47,49,257,523
47,50,290,612
47,51,42,60
47,52,128,225
47,53,197,250
47,54,216,360
47,55,27,49
47,56,30,46
47,57,123,242
47,58,132,182
47,59,133,219
47,60,53,104
47,61,0,0
48,1,41,214
48,2,50,566
48,3,28,640
48,4,60,766
48,5,116,391
48,6,131,843
48,7,14,817
48,8,59,749
48,9,16,589
48,10,106,681
48,11,3,363
48,12,13,427
48,13,83,695
48,14,121,240
48,15,260,595
48,16,213,656
48,17,11,7
48,18,1,51
48,19,192,453
48,20,184,371
48,21,103,136
48,22,18,116
48,23,291,470
48,24,260,313
48,25,243,540
48,26,85,765
48,27,139,452
48,28,103,486
48,29,134,538
48,30,67,526
48,31,44,52
48,32,39,491
48,33,180,512
48,34,77,84
48,35,149,537
48,36,119,260
48,37,42,458
48,38,123,780
48,39,102,740
48,40,62,920
48,41,40,807
48,42,17,781
48,43,53,586
48,44,21,543
48,45,75,762
48,46,51,712
48,47,48,804
48,48,73,671
48,49,42,685
48,50,21,533
48,51,18,563
48,52,65,363
48,53,4,425
48,54,0,0
48,55,44,259
48,56,7,32
48,57,14,177
49,1,0,0
49,2,42,54
49,3,35,35
49,4,134,125
49,5,118,118
49,6,168,210
