state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary,FIPS,TOWN
NY,3.6059E+11,348,651,1004,-0.3018,TRUE,36059,2
NY,3.6059E+11,274,447,725,-0.2386,TRUE,36059,2
NY,3.6059E+11,258,356,616,-0.1591,TRUE,36059,2
NY,3.6059E+11,432,467,906,-0.0386,TRUE,36059,2
NY,3.6059E+11,363,200,566,0.288,TRUE,36059,2
NY,3.6059E+11,490,313,809,0.2188,TRUE,36059,2
NY,3.6059E+11,476,259,736,0.2948,TRUE,36059,2
NY,3.6059E+11,326,225,556,0.1817,TRUE,36059,2
NY,3.6059E+11,444,230,680,0.3147,TRUE,36059,2
NY,3.6059E+11,778,275,1058,0.4754,TRUE,36059,2
NY,3.6059E+11,676,383,1075,0.2726,TRUE,36059,2
NY,3.6059E+11,404,121,531,0.533,TRUE,36059,2
NY,3.6059E+11,382,255,639,0.1987,TRUE,36059,2
NY,3.6059E+11,395,269,669,0.1883,TRUE,36059,2
NY,3.6059E+11,457,288,749,0.2256,TRUE,36059,2
NY,3.6059E+11,385,255,649,0.2003,TRUE,36059,2
NY,3.6059E+11,548,379,931,0.1815,TRUE,36059,2
NY,3.6059E+11,476,330,812,0.1798,TRUE,36059,2
NY,3.6059E+11,459,222,687,0.345,TRUE,36059,2
NY,3.6059E+11,520,541,1066,-0.0197,TRUE,36059,2
NY,3.6059E+11,466,317,803,0.1856,TRUE,36059,2
NY,3.6059E+11,463,353,821,0.134,TRUE,36059,2
NY,3.6059E+11,510,238,754,0.3607,TRUE,36059,2
NY,3.6059E+11,408,209,619,0.3215,TRUE,36059,2
NY,3.6059E+11,578,321,903,0.2846,TRUE,36059,2
NY,3.6059E+11,461,234,702,0.3234,TRUE,36059,2
NY,3.6059E+11,532,256,793,0.348,TRUE,36059,2
NY,3.6059E+11,391,276,673,0.1709,TRUE,36059,2
NY,3.6059E+11,25,81,106,-0.5283,TRUE,36059,2
NY,3.6059E+11,577,173,753,0.5365,TRUE,36059,2
NY,3.6059E+11,566,389,962,0.184,TRUE,36059,2
NY,3.6059E+11,460,531,1001,-0.0709,TRUE,36059,2
NY,3.6059E+11,213,216,434,-0.0069,TRUE,36059,2
